id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29183,29183,Plouégat-Moysan,PLOUEGAT MOYSAN,-3.616572712913939,48.57012831476316,242900835,Communauté d'agglomération Morlaix Communauté,29199,Plouigneau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:32.198743,,,1943-01-01,,,,,
29184,29184,Plouénan,PLOUENAN,-3.9804466680969925,48.62104916166725,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:19.517504,,,1943-01-01,,,,,
29185,29185,Plouescat,PLOUESCAT,-4.180112019345315,48.66553079074059,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:38.832049,,,1943-01-01,,,,,
39314,39314,Marnézia,MARNEZIA,5.63608828790541,46.575762223008105,200090579,Communauté de communes Terre d'Émeraude Communauté,39397,Orgelet,2713,Lons-le-Saunier,392,Lons-le-Saunier,39,2025-06-26 23:12:27.410149,,,1943-01-01,,,,,
29188,29188,Plougasnou,PLOUGASNOU,-3.8117468075282295,48.67741601739399,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:00.80751,,,1943-01-01,,,,,
29189,29189,Plougastel-Daoulas,PLOUGASTEL DAOULAS,-4.378670791414958,48.36839915909319,242900314,Brest Métropole,29019,Brest,5302,Brest,291,Brest,29,2025-06-26 23:11:58.605663,,,1943-01-01,,,,,
29190,29190,Plougonvelin,PLOUGONVELIN,-4.718061362348856,48.35108247361125,242900074,Communauté de communes du Pays d'Iroise,29019,Brest,5302,Brest,291,Brest,29,2025-06-26 23:12:02.151666,,,1943-01-01,,,,,
29191,29191,Plougonven,PLOUGONVEN,-3.727495752314325,48.50563144149849,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:27.090446,,,1943-01-01,,,,,
29193,29193,Plougourvest,PLOUGOURVEST,-4.0733200886789245,48.55368079043244,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:07.910916,,,1943-01-01,,,,,
29195,29195,Plouguerneau,PLOUGUERNEAU,-4.507485591521879,48.608552372091125,242900553,Communauté de communes du Pays des Abers,29195,Plouguerneau,5302,Brest,291,Brest,29,2025-06-26 23:12:17.62606,,,1943-01-01,,,,,
