id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
553650000,553650000,Murvaux,MURVAUX,5.26769622504128,49.39451816815797,f,55365,Murvaux,C,5536500,,f,55365,2025-06-26 23:18:19.362063,t
575970000,575970000,Rosselange,ROSSELANGE,6.060627034573955,49.26668414700978,f,57597,Rosselange,C,5759700,,f,57597,2025-06-26 23:18:19.399972,t
572470000,572470000,Gerbécourt,GERBECOURT,6.515437068862409,48.85234624546335,f,57247,Gerbécourt,C,5724700,,f,57247,2025-06-26 23:18:19.387066,t
552580000,552580000,Geville,GEVILLE,5.703435177182648,48.780215759097366,f,55258,Geville,C,5525800,,f,55258,2025-06-26 23:18:19.361065,t
544810000,544810000,Saint-Maurice-aux-Forges,SAINT MAURICE AUX FORGES,6.850482614353793,48.50691703714537,f,54481,Saint-Maurice-aux-Forges,C,5448100,,f,54481,2025-06-26 23:18:19.353066,t
551240000,551240000,Consenvoye,CONSENVOYE,5.310963626211662,49.29549528010761,f,55124,Consenvoye,C,5512400,,f,55124,2025-06-26 23:18:19.358064,t
575910101,575910101,Centre Ville Mairie Ville Basse,CENTRE VILLE MAIRIE VILLE BASSE,6.102128190683072,49.255066224664695,t,57591,Rombas,A,5759101,Rombas,f,57591,2025-06-26 23:18:19.397619,f
575910104,575910104,Rond Bois-Champs Robert,ROND BOIS CHAMPS ROBERT,6.110245196696305,49.2444203538105,t,57591,Rombas,A,5759101,Rombas,f,57591,2025-06-26 23:18:19.398965,f
545120000,545120000,Tanconville,TANCONVILLE,6.939887575681724,48.60498449597144,f,54512,Tanconville,C,5451200,,f,54512,2025-06-26 23:18:19.354066,t
620670000,620670000,Avroult,AVROULT,2.145071091784638,50.63192022094124,f,62067,Avroult,C,6206700,,f,62067,2025-06-26 23:18:19.514149,t
572920000,572920000,Hannocourt,HANNOCOURT,6.4511462146420975,48.914064799703766,f,57292,Hannocourt,C,5729200,,f,57292,2025-06-26 23:18:19.390075,t
543800000,543800000,Mont-le-Vignoble,MONT LE VIGNOBLE,5.849979557532864,48.61886536612779,f,54380,Mont-le-Vignoble,C,5438000,,f,54380,2025-06-26 23:18:19.348444,t
553890000,553890000,Nubécourt,NUBECOURT,5.176559621944122,49.00505318053667,f,55389,Nubécourt,C,5538900,,f,55389,2025-06-26 23:18:19.363065,t
555790000,555790000,Watronville,WATRONVILLE,5.546800769598805,49.13848980753747,f,55579,Watronville,C,5557900,,f,55579,2025-06-26 23:18:19.366066,t
561400000,561400000,Moréac,MOREAC,-2.8038526057949436,47.93303821398781,f,56140,Moréac,C,5614000,,f,56140,2025-06-26 23:18:19.371066,t
573170000,573170000,Hérange,HERANGE,7.172569704908301,48.77695557473868,f,57317,Hérange,C,5731700,,f,57317,2025-06-26 23:18:19.39208,t
573810000,573810000,Laneuveville-en-Saulnois,LANEUVEVILLE EN SAULNOIS,6.444756472676488,48.866503783270716,f,57381,Laneuveville-en-Saulnois,C,5738100,,f,57381,2025-06-26 23:18:19.392595,t
